,FAMILY_INCOME_BRACKET,HOUSEHOLD_SIZE,SES_COMPOSITE_URBANICITY_ADJ,NUM_HS_ATTENDED,SCHOOL_PROBLEM_SCALE,SCHOOL_CLIMATE_SCALE,STUDENT_SCHOOL_MOTIVATION,TOTAL_AP_CREDITS,RIGOR,HS_GPA_12TH,HS_GPA_11TH,HS_GPA_10TH,HS_GPA_9TH,HS_GPA_ACAD,HS_GPA_WGT,SAT_WRIT_AVG,ACT_SCHOOL_AVG,FRESHMAN_GPA,FRESHMAN_CREDITS_ATTEMPTED,FRESHMAN_CREDITS_EARNED,REMEDIAL_COURSE_RATIO,ENROLLMENT_ATTAINMENT_STATUS,SAT_SCHOOL_AVG,HOURS_HOMEWORK
1478,3,5,0.0201,1,-1.59,0.82,-2.22,0.0,1,3.0,2.5,2.5,3.0,2.5,2.5,600,25,-8.0,-8,-8,-8.0,-8,1260,4
1479,-8,-8,0.0583,1,1.92,0.12,-1.63,0.0,1,3.0,2.0,3.0,3.0,2.5,3.0,400,18,1.8,24,18,0.0,2,845,6
1480,3,4,0.5734,1,-0.15,-0.45,-0.74,1.0,5,3.5,3.5,3.5,4.0,3.5,4.0,520,24,4.0,3,3,0.0,11,1080,4
1481,1,5,-1.006,2,0.24,-1.22,-1.84,0.0,1,3.0,2.0,1.0,1.0,1.5,1.5,560,17,-8.0,-8,-8,-8.0,-8,1010,-5
1482,4,4,-0.5453,2,-9.0,-9.0,0.56,1.0,3,3.5,3.5,3.5,3.5,3.0,3.5,-6,-6,2.9,29,29,0.0,3,-12,7
1483,4,4,-0.0398,1,0.14,-0.19,0.04,0.0,3,3.5,3.0,2.5,3.0,3.0,3.0,540,23,-6.0,-6,-6,-6.0,-6,1140,3
1484,2,5,-0.9212,1,0.99,-0.88,0.73,1.0,5,3.0,3.5,3.5,3.0,3.0,3.5,480,28,-8.0,-8,-8,-8.0,-8,1000,9
1485,3,6,0.4161,1,-9.0,-9.0,0.44,4.0,4,3.5,3.5,3.5,3.5,3.5,4.0,-9,-9,3.8,32,32,0.0,3,-18,5
1486,-8,-8,-0.6611,2,-9.0,-9.0,-8.0,0.0,6,-1.0,-1.0,-1.0,-1.0,0.5,0.5,-6,-6,-6.0,-6,-6,-6.0,-6,-12,3
1487,6,5,0.6892,1,-2.14,1.92,0.27,0.0,3,3.0,2.0,2.5,3.0,2.5,2.5,520,-9,0.6,12,3,0.0,1,1070,6
1488,8,4,0.1717,1,0.07,-9.0,0.52,0.0,1,-1.0,3.0,3.0,2.5,2.5,3.0,470,23,-8.0,-8,-8,-8.0,-8,1010,4
1489,3,5,0.2591,1,1.44,-9.0,0.55,0.0,2,2.0,2.5,3.0,2.5,2.0,2.5,470,21,-6.0,-6,-6,-6.0,-6,1050,4
1490,-8,-8,-1.0305,2,2.18,-1.0,-8.0,1.5,5,3.0,2.0,3.0,3.0,2.5,3.0,-9,17,-8.0,-8,-8,-8.0,-8,-18,4
1491,-8,-8,0.0779,1,-9.0,0.87,-1.15,0.0,4,2.0,2.0,1.5,3.0,2.0,2.0,440,21,0.5,18,3,0.4,1,910,3
1492,1,2,-1.1364,1,-1.94,-9.0,-0.44,0.0,1,2.5,3.0,2.5,2.5,2.5,2.5,620,17,-6.0,-6,-6,-6.0,-6,1260,-5
1493,5,4,0.2031,1,0.01,0.0,0.53,0.0,1,3.0,3.5,4.0,3.5,3.5,3.5,420,-9,4.0,6,6,0.0,11,905,-2
1494,-8,-8,0.4285,1,-0.76,1.2,0.02,3.5,5,2.5,2.5,3.0,3.0,2.5,3.0,-9,24,3.3,34,28,0.0,3,-18,7
1495,-8,-8,-8.0,1,0.07,0.14,0.7,4.0,6,3.5,3.5,3.5,3.0,3.5,3.5,-9,-9,-8.0,-8,-8,-8.0,-8,-18,-24
1496,-8,-8,-8.0,1,0.04,0.19,0.58,0.0,6,2.0,2.0,2.0,2.5,2.0,2.0,-9,-9,-6.0,-6,-6,-6.0,-6,-18,-24
1497,2,6,-0.556,1,-9.0,-9.0,-8.0,0.0,6,2.0,2.0,2.0,1.5,1.5,2.0,-6,-6,-6.0,-6,-6,-6.0,-6,-12,-5
1498,3,3,-0.618,1,0.26,0.77,0.7,1.0,5,3.0,3.0,3.0,3.5,3.0,3.0,-9,19,2.3,26,19,0.1,3,-18,-12
1499,2,5,-8.0,1,1.64,-0.6,0.35,0.0,2,2.5,2.5,1.5,1.0,1.0,2.0,-9,-9,-6.0,-6,-6,-6.0,-6,-18,-24
1500,-8,-8,-0.9339,1,-0.1,0.51,-1.08,0.0,2,3.0,2.5,2.0,1.5,2.5,2.5,-9,-9,-6.0,-6,-6,-6.0,-6,-18,-27
